Code WZ 2008;TitleInGerman;Value_males;Value_females
10910;Herstellung von Futtermitteln für Nutztiere;7079;2064
10920;Herstellung von Futtermitteln für sonstige Tiere;6101;3259
110;Getränkeherstellung;51639;16573
11010;Herstellung von Spirituosen;2218;1884
11020;Herstellung von Traubenwein;5371;3131
11030;Herstellung von Apfelwein und anderen Fruchtweinen;;
11040;Herstellung von Wermutwein und sonstigen aromatisierten Weinen;;
11050;Herstellung von Bier;24478;6507
11060;Herstellung von Malz;747;222
11070;"Herstellung von Erfrischungsgetränken; Gewinnung natürlicher Mineralwässer";18455;4656
120;Tabakverarbeitung;5636;3074
12000;Tabakverarbeitung;5636;3074
131;Spinnstoffaufbereitung und Spinnerei;3198;2112
13100;Spinnstoffaufbereitung und Spinnerei;3198;2112
132;Weberei;6362;4042
13200;Weberei;6362;4042
133;Veredlung von Textilien und Bekleidung;7298;6362
13300;Veredlung von Textilien und Bekleidung;7298;6362
139;Herstellung von sonstigen Textilwaren;23975;19567
13910;Herstellung von gewirktem und gestricktem Stoff;1887;3074
13920;Herstellung von konfektionierten Textilwaren (ohne Bekleidung);5715;6199
13930;Herstellung von Teppichen;1582;630
13940;Herstellung von Seilerwaren;978;705
13950;Herstellung von Vliesstoff und Erzeugnissen daraus (ohne Bekleidung);3951;1227
13960;Herstellung von technischen Textilien;8269;5286
13990;Herstellung von sonstigen Textilwaren a. n. g.;1593;2446
141;Herstellung von Bekleidung (ohne Pelzbekleidung);10219;22123
14110;Herstellung von Lederbekleidung;144;327
14120;Herstellung von Arbeits- und Berufsbekleidung;1501;2300
14131;Herstellung von gewebter Oberbekleidung für Herren und Knaben;1242;2963
14132;Herstellung von gewebter Oberbekleidung für Damen und Mädchen;1407;5305
14133;Herstellung von gewirkter und gestrickter Oberbekleidung;373;1471
14141;Herstellung von gewebter Wäsche (ohne Miederwaren);487;1412
14142;Herstellung von gewirkter und gestrickter Wäsche (ohne Miederwaren);217;627
14143;Herstellung von Miederwaren;189;627
14190;Herstellung von sonstiger Bekleidung und Bekleidungszubehör a. n. g.;4659;7091
142;Herstellung von Pelzwaren;54;150
14200;Herstellung von Pelzwaren;54;150
143;Herstellung von Bekleidung aus gewirktem und gestricktem Stoff;1097;2626
14310;Herstellung von Strumpfwaren;1036;2301
14390;Herstellung von sonstiger Bekleidung aus gewirktem und gestricktem Stoff;61;325
151;Herstellung von Leder und Lederwaren (ohne Herstellung von Lederbekleidung);4417;3521
15110;"Herstellung von Leder und Lederfaserstoff; Zurichtung und Färben von Fellen";2248;738
15120;Lederverarbeitung (ohne Herstellung von Lederbekleidung);2169;2783
152;Herstellung von Schuhen;4666;5374
15200;Herstellung von Schuhen;4666;5374
161;Säge-, Hobel- und Holzimprägnierwerke;20344;3038
16100;Säge-, Hobel- und Holzimprägnierwerke;20344;3038
162;Herstellung von sonstigen Holz-, Kork-, Flecht- und Korbwaren (ohne Möbel);72594;15648
16210;Herstellung von Furnier-, Sperrholz-, Holzfaser- und Holzspanplatten;13566;2657
16220;Herstellung von Parketttafeln;1443;377
16230;Herstellung von sonstigen Konstruktionsteilen, Fertigbauteilen, Ausbauelementen und Fertigteilbauten aus Holz;42782;8250
16240;Herstellung von Verpackungsmitteln, Lagerbehältern und Ladungsträgern aus Holz;8796;1493
16290;Herstellung von Holzwaren a. n. g., Kork-, Flecht- und Korbwaren (ohne Möbel);6007;2871
171;Herstellung von Holz- und Zellstoff, Papier, Karton und Pappe;35117;7155
17110;Herstellung von Holz- und Zellstoff;2602;848
17120;Herstellung von Papier, Karton und Pappe;32515;6307
172;Herstellung von Waren aus Papier, Karton und Pappe;62393;21891
17210;Herstellung von Wellpapier und -pappe sowie von Verpackungsmitteln aus Papier, Karton und Pappe;39225;12657
17220;Herstellung von Haushalts-, Hygiene- und Toilettenartikeln aus Zellstoff, Papier und Pappe;10883;3551
17230;Herstellung von Schreibwaren und Bürobedarf aus Papier, Karton und Pappe;3167;1582
17240;Herstellung von Tapeten;1232;395
17290;Herstellung von sonstigen Waren aus Papier, Karton und Pappe;7886;3706
181;Herstellung von Druckerzeugnissen;84297;45906
18110;Drucken von Zeitungen;5452;3200
18120;Drucken a. n. g.;63907;32611
18130;Druck- und Medienvorstufe;10927;7104
18140;Binden von Druckerzeugnissen und damit verbundene Dienstleistungen;4011;2991
182;Vervielfältigung von bespielten Ton-, Bild- und Datenträgern;941;757
18200;Vervielfältigung von bespielten Ton-, Bild- und Datenträgern;941;757
191;Kokerei;;
19100;Kokerei;;
192;Mineralölverarbeitung;17739;4403
19200;Mineralölverarbeitung;17739;4403
201;Herstellung von chemischen Grundstoffen, Düngemitteln und Stickstoffverbindungen, Kunststoffen in Primärformen und synthetischem Kautschuk in Primärformen;151364;44570
20110;Herstellung von Industriegasen;3747;1084
20120;Herstellung von Farbstoffen und Pigmenten;8760;2425
20130;Herstellung von sonstigen anorganischen Grundstoffen und Chemikalien;52627;16497
20140;Herstellung von sonstigen organischen Grundstoffen und Chemikalien;50979;14526
20150;Herstellung von Düngemitteln und Stickstoffverbindungen;1845;424
20160;Herstellung von Kunststoffen in Primärformen;32869;9477
20170;Herstellung von synthetischem Kautschuk in Primärformen;537;137
202;Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln;2530;1379
20200;Herstellung von Schädlingsbekämpfungs-, Pflanzenschutz- und Desinfektionsmitteln;2530;1379
203;Herstellung von Anstrichmitteln, Druckfarben und Kitten;27623;9553
20300;Herstellung von Anstrichmitteln, Druckfarben und Kitten;27623;9553
204;Herstellung von Seifen, Wasch-, Reinigungs- und Körperpflegemitteln sowie von Duftstoffen;23191;19813
20410;Herstellung von Seifen, Wasch-, Reinigungs- und Poliermitteln;6539;3699
20420;Herstellung von Körperpflegemitteln und Duftstoffen;16652;16114
205;Herstellung von sonstigen chemischen Erzeugnissen;38949;13653
20510;Herstellung von pyrotechnischen Erzeugnissen;1272;677
20520;Herstellung von Klebstoffen;5124;1623
20530;Herstellung von etherischen Ölen;290;204
20590;Herstellung von sonstigen chemischen Erzeugnissen a. n. g.;32263;11149
206;Herstellung von Chemiefasern;8771;1675
20600;Herstellung von Chemiefasern;8771;1675
211;Herstellung von pharmazeutischen Grundstoffen;12101;9027
21100;Herstellung von pharmazeutischen Grundstoffen;12101;9027
212;Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen;64320;65920
21200;Herstellung von pharmazeutischen Spezialitäten und sonstigen pharmazeutischen Erzeugnissen;64320;65920
221;Herstellung von Gummiwaren;58747;14316
22110;Herstellung und Runderneuerung von Bereifungen;23222;2959
22190;Herstellung von sonstigen Gummiwaren;35525;11357
222;Herstellung von Kunststoffwaren;245570;89837
22210;Herstellung von Platten, Folien, Schläuchen und Profilen aus Kunststoffen;57054;15102
22220;Herstellung von Verpackungsmitteln aus Kunststoffen;34091;12782
22230;Herstellung von Baubedarfsartikeln aus Kunststoffen;33100;8876
22290;Herstellung von sonstigen Kunststoffwaren;121325;53077
231;Herstellung von Glas und Glaswaren;41978;12267
23110;Herstellung von Flachglas;6751;1375
23120;Veredlung und Bearbeitung von Flachglas;12774;3982
23130;Herstellung von Hohlglas;11414;3091
23140;Herstellung von Glasfasern und Waren daraus;4120;909
23190;Herstellung, Veredlung und Bearbeitung von sonstigem Glas einschließlich technischen Glaswaren;6919;2910
232;Herstellung von feuerfesten keramischen Werkstoffen und Waren;5840;1047
23200;Herstellung von feuerfesten keramischen Werkstoffen und Waren;5840;1047
233;Herstellung von keramischen Baumaterialien;11443;2208
23310;"Herstellung von keramischen Wand- und Bodenfliesen und 
-platten";2727;925
23320;Herstellung von Ziegeln und sonstiger Baukeramik;8716;1283
234;Herstellung von sonstigen Porzellan- und keramischen Erzeugnissen;12898;7121
23410;Herstellung von keramischen Haushaltswaren und Ziergegenständen;3503;3714
23420;Herstellung von Sanitärkeramik;3315;831
23430;Herstellung von Isolatoren und Isolierteilen aus Keramik;765;191
23440;Herstellung von keramischen Erzeugnissen für sonstige technische Zwecke;4471;2157
23490;Herstellung von sonstigen keramischen Erzeugnissen;844;228
235;Herstellung von Zement, Kalk und gebranntem Gips;7390;1322
23510;Herstellung von Zement;6742;1244
23520;Herstellung von Kalk und gebranntem Gips;648;78
236;Herstellung von Erzeugnissen aus Beton, Zement und Gips;58741;9271
23610;Herstellung von Erzeugnissen aus Beton, Zement und Kalksandstein für den Bau;38877;6078
23620;Herstellung von Gipserzeugnissen für den Bau;2130;307
23630;Herstellung von Frischbeton (Transportbeton);9138;1100
23640;Herstellung von Mörtel und anderem Beton (Trockenbeton);2357;542
23650;Herstellung von Faserzementwaren;1235;197
23690;Herstellung von sonstigen Erzeugnissen aus Beton, Zement und Gips a. n. g.;5004;1047
237;Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.;14647;3597
23700;Be- und Verarbeitung von Naturwerksteinen und Natursteinen a. n. g.;14647;3597
239;Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage sowie sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.;12647;3055
23910;Herstellung von Schleifkörpern und Schleifmitteln auf Unterlage;4741;1333
23990;Herstellung von sonstigen Erzeugnissen aus nichtmetallischen Mineralien a. n. g.;7906;1722
241;Erzeugung von Roheisen, Stahl und Ferrolegierungen;90372;10613
24100;Erzeugung von Roheisen, Stahl und Ferrolegierungen;90372;10613
242;Herstellung von Stahlrohren, Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl;24721;3996
24201;Herstellung von Stahlrohren (ohne Präzisionsstahlrohre);7736;806
24202;Herstellung von Präzisionsstahlrohren;7812;1349
24203;Herstellung von Rohrform-, Rohrverschluss- und Rohrverbindungsstücken aus Stahl;9173;1841
243;Sonstige erste Bearbeitung von Eisen und Stahl;14551;1843
24310;Herstellung von Blankstahl;3189;329
24320;"Herstellung von Kaltband mit einer Breite von weniger als 
600 mm";1655;244
24330;Herstellung von Kaltprofilen;3869;593
24340;Herstellung von kaltgezogenem Draht;5838;677
244;Erzeugung und erste Bearbeitung von NE-Metallen;59818;9928
24410;Erzeugung und erste Bearbeitung von Edelmetallen;4013;1471
24420;Erzeugung und erste Bearbeitung von Aluminium;28549;4329
24430;Erzeugung und erste Bearbeitung von Blei, Zink und Zinn;;
24440;Erzeugung und erste Bearbeitung von Kupfer;8945;1339
24450;Erzeugung und erste Bearbeitung von sonstigen NE-Metallen;15350;2171
24460;Aufbereitung von Kernbrennstoffen;;
245;Gießereien;68183;8815
24510;Eisengießereien;32684;2970
24520;Stahlgießereien;6263;926
24530;Leichtmetallgießereien;27261;4265
24540;Buntmetallgießereien;1975;654
251;Stahl- und Leichtmetallbau;164555;28119
25110;Herstellung von Metallkonstruktionen;133068;21766
25120;Herstellung von Ausbauelementen aus Metall;31487;6353
252;"Herstellung von Metalltanks und -behältern; Herstellung von Heizkörpern und -kesseln für Zentralheizungen";18940;3503
25210;Herstellung von Heizkörpern und -kesseln für Zentralheizungen;8266;1870
25290;Herstellung von Sammelbehältern, Tanks u. ä. Behältern aus Metall;10674;1633
253;Herstellung von Dampfkesseln (ohne Zentralheizungskessel);2648;409
25300;Herstellung von Dampfkesseln (ohne Zentralheizungskessel);2648;409
254;Herstellung von Waffen und Munition;5739;1774
25400;Herstellung von Waffen und Munition;5739;1774
255;Herstellung von Schmiede-, Press-, Zieh- und Stanzteilen, gewalzten Ringen und pulvermetallurgischen Erzeugnissen;51672;11534
25501;Herstellung von Freiformschmiedestücken;3477;351
25502;Herstellung von Gesenkschmiedeteilen;7572;922
25503;Herstellung von Kaltfließpressteilen;1398;291
25504;Herstellung von Press-, Zieh- und Stanzteilen;35560;9228
25505;Herstellung von pulvermetallurgischen Erzeugnissen;3665;742
256;"Oberflächenveredlung und Wärmebehandlung; Mechanik a. n. g.";214279;52406
25610;Oberflächenveredlung und Wärmebehandlung;63456;19854
25620;Mechanik a. n. g.;150823;32552
257;Herstellung von Schneidwaren, Werkzeugen, Schlössern und Beschlägen aus unedlen Metallen;100705;29154
25710;Herstellung von Schneidwaren und Bestecken aus unedlen Metallen;4251;2179
25720;Herstellung von Schlössern und Beschlägen aus unedlen Metallen;25712;10789
25731;Herstellung von Handwerkzeugen;11848;3813
25732;Herstellung von Sägen und von Maschinenwerkzeugen für die Holzbearbeitung;3804;971
25733;Herstellung von auswechselbaren Werkzeugen für die Metallbearbeitung a. n. g.;36700;7721
25734;Herstellung von Geräten für die Landwirtschaft;2163;391
25735;Herstellung von sonstigen Werkzeugen;16227;3290
259;Herstellung von sonstigen Metallwaren;125555;35808
25910;Herstellung von Fässern, Trommeln, Dosen, Eimern u. ä. Behältern aus Metall;2638;403
25920;Herstellung von Verpackungen und Verschlüssen aus Eisen, Stahl und NE-Metall;9000;2710
25930;Herstellung von Drahtwaren, Ketten und Federn;23193;6681
25940;Herstellung von Schrauben und Nieten;14924;3424
25991;Herstellung von nicht elektrischen Haushaltsartikeln aus Metall;2196;1084
25992;Herstellung von Panzerschränken und Tresoranlagen;419;88
25993;Herstellung von Metallwaren a. n. g.;73185;21418
261;Herstellung von elektronischen Bauelementen und Leiterplatten;107504;54086
